STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT10,WT10_ATTRIBUTES
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/1/2019,,,,,,,,,0.1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/2/2019,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/3/2019,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/4/2019,,,,,,,,,1.69,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/5/2019,,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/6/2019,,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/7/2019,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/8/2019,,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/9/2019,,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/10/2019,,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/11/2019,,,,,,,,,0.03,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/12/2019,,,,,,,,,1.83,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/13/2019,,,,,,,,,0.01,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/14/2019,,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/15/2019,,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/16/2019,,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/17/2019,,,,,,,,,0.08,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1OKRG0005,"OWASSO 1.8 SE, OK US",36.263333,-95.810833,0,1/18/2019,,,,,,,,,0.22,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
